 ,Date,Prompt Category,Task ID,Task Description,Model,Quality (1-5),Latency (sec),Energy,co2
,,Easy factual & rewriting,1.0,Who is the current UN Secretary-General?,Meta LLaMA 3.1 8B,3.0,2.0,0.22,0.14
,,Easy factual & rewriting,1.0,Who is the current UN Secretary-General?,Gemma 8B,5.0,2.2,0.16,0.1
,,Easy factual & rewriting,1.0,Who is the current UN Secretary-General?,Mistral Small,5.0,2.1,0.84,0.52
,,Easy factual & rewriting,1.0,Who is the current UN Secretary-General?,GPT-OSS 20B,4.0,1.93,0.48,0.3
,,Easy factual & rewriting,1.0,Who is the current UN Secretary-General?,GPT-5,5.0,10.9,4.0,2.0
,,Easy factual & rewriting,1.0,Who is the current UN Secretary-General?,DeepSeek R1,4.0,16.86,28.0,17.0
,,Easy factual & rewriting,2.0,Summarise a 150-word news article in one sentence.,Meta LLaMA 3.1 8B,5.0,1.55,0.21,0.13
,,Easy factual & rewriting,2.0,Summarise a 150-word news article in one sentence.,Gemma 8B,5.0,1.01,0.27,0.17
,,Easy factual & rewriting,2.0,Summarise a 150-word news article in one sentence.,Mistral Small,5.0,1.2,0.32,0.2
,,Easy factual & rewriting,2.0,Summarise a 150-word news article in one sentence.,GPT-OSS 20B,5.0,2.7,1.73,1.07
,,Easy factual & rewriting,2.0,Summarise a 150-word news article in one sentence.,GPT-5,5.0,12.11,21.0,13.0
,,Easy factual & rewriting,2.0,Summarise a 150-word news article in one sentence.,DeepSeek R1,0.0,11.0,27.0,17.0
,,Easy factual & rewriting,3.0,Translate a paragraph about climate change into French.,Meta LLaMA 3.1 8B,1.0,3.64,1.25,0.77
,,Easy factual & rewriting,3.0,Translate a paragraph about climate change into French.,Gemma 8B,5.0,2.23,0.2,0.12
,,Easy factual & rewriting,3.0,Translate a paragraph about climate change into French.,Mistral Small,5.0,1.0,0.86,0.53
,,Easy factual & rewriting,3.0,Translate a paragraph about climate change into French.,GPT-OSS 20B,3.0,1.2,1.19,0.73
,,Easy factual & rewriting,3.0,Translate a paragraph about climate change into French.,GPT-5,3.0,29.78,14.0,28.0
,,Easy factual & rewriting,3.0,Translate a paragraph about climate change into French.,DeepSeek R1,5.0,29.5,45.0,9.0
,,Easy factual & rewriting,4.0,Classify sentiment of 3 tweets (positive/negative).,Meta LLaMA 3.1 8B,5.0,1.0,0.18,0.11
,,Easy factual & rewriting,4.0,Classify sentiment of 3 tweets (positive/negative).,Gemma 8B,4.0,1.5,0.21,0.13
,,Easy factual & rewriting,4.0,Classify sentiment of 3 tweets (positive/negative).,Mistral Small,5.0,1.3,0.31,0.19
,,Easy factual & rewriting,4.0,Classify sentiment of 3 tweets (positive/negative).,GPT-OSS 20B,5.0,1.0,0.3,0.22
,,Easy factual & rewriting,4.0,Classify sentiment of 3 tweets (positive/negative).,GPT-5,5.0,6.0,15.0,9.0
,,Easy factual & rewriting,4.0,Classify sentiment of 3 tweets (positive/negative).,DeepSeek R1,3.0,5.4,12.0,7.0
,,Easy factual & rewriting,5.0,Extract email & phone number from a text.,Meta LLaMA 3.1 8B,5.0,2.5,0.55,0.34
,,Easy factual & rewriting,5.0,Extract email & phone number from a text.,Gemma 8B,4.0,2.99,0.23,0.14
,,Easy factual & rewriting,5.0,Extract email & phone number from a text.,Mistral Small,0.0,3.2,4.0,2.0
,,Easy factual & rewriting,5.0,Extract email & phone number from a text.,GPT-OSS 20B,5.0,4.12,0.18,0.11
,,Easy factual & rewriting,5.0,Extract email & phone number from a text.,GPT-5,4.0,27.64,36.0,22.0
,,Easy factual & rewriting,5.0,Extract email & phone number from a text.,DeepSeek R1,2.0,27.4,96.0,59.0
,,Easy factual & rewriting,6.0,Explain the difference between RAM and ROM.,Meta LLaMA 3.1 8B,4.0,22.67,1.54,0.95
,,Easy factual & rewriting,6.0,Explain the difference between RAM and ROM.,Gemma 8B,5.0,22.8,2.0,1.4
